四,a/an,,研纲,a/an,小学,a/an
四,abandon,,研纲,abandon,初中,abandon
六,abbreviation,,,,,
无,abdomen,,研纲,abdomen,,
六,abide,,研纲,abide,,
四,able,ability;unable(高考),研纲,able;ability,初中,able;ability;unable
六,abnormal,,研纲,abnormal,高考,abnormal
四,aboard,,研纲,aboard,高中,aboard
四,abolish,abolition,研纲,abolish,高考,abolish
六,abort,abortion,,;abortion,,
无,abound,,研纲,abound,,
四,about,,研纲,about,小学,about
四,above,,研纲,above,小学,above
六,abreast,,,,,
四,abroad,,研纲,abroad,初中,abroad
六,abrupt,,研纲,abrupt,高考,abrupt
四,absent,absence,研纲,absent;absence,高中,absent;absence
四,absolute,,研纲,absolute,高中,absolute
四,absorb,absorption,研纲,absorb,高中,absorb
四,abstract,,研纲,abstract,高中,abstract
六,absurd,absurdity,研纲,absurd,高考,absurd
四,abundant,abundance,研纲,abundant,高考,abundant
四,abuse,abusive,研纲,abuse,高考,abuse
四,academy,academic;academician,研纲,academy;academic,高考,academy;academic
四,accelerate,acceleration,研纲,accelerate,高考,accelerate
四,accent,,研纲,accent,高考,accent
四,accept,acceptance;acceptable,研纲,accept;acceptance,初中,accept
四,access,accessible,研纲,access,初中,access;accessible
六,accessory,,研纲,accessory,,
四,accident,accidental,研纲,accident,初中,accident
六,acclaim,,研纲,acclaim,,
四,accommodate,accommodation,研纲,accommodate;accommodation(s),高中,accommodation
四,accompany,,研纲,accompany,高中,accompany
四,accomplish,accomplishment,研纲,accomplish,高考,accomplish
四,accord,,研纲,accord,,
四,accordance,,研纲,accordance,,
四,according(-to),,研纲,according(-to),初中,according(-to)
四,accordingly,,研纲,accordingly,,
四,account,accounting;accountant;accountancy,研纲,account;accountant,初中,account;accountant
四,accountable,accountability,,,,
四,accumulate,accumulation;accumulative,研纲,accumulate,高考,accumulate
四,accurate,accuracy,研纲,accurate;accuracy,初中,accurate;accuracy
四,accuse,accusation,研纲,accuse,高中,accuse
四,accustom,accustomed,,;accustomed,,
四,ace,,,,,
四,ache,,研纲,ache,高中,ache
四,achieve,achievement,研纲,achieve,初中,achieve;achievement
四,acid,acidity,研纲,acid,高中,acid
四,acknowledge,acknowledg(e)ment,研纲,acknowledge,高中,acknowledge
四,acquaint,acquaintance,研纲,acquaint;acquaintance,高考,acquaintance
四,acquire,acquisition,研纲,acquire;acquisition,高中,acquire;acquisition
