The list below shows every twentieth entry from the 100,000 word list (http://www.wordfrequency.info/100k.asp) that is
based on the 450 million word Corpus of Contemporary American English (COCA; http://corpus.byu.edu/coca).

These words are taken completely at random -- every twentieth word. No attempt has been made to "clean up" this particular list, 
beyond our regular correction efforts for all 100,000 words. While the list is not perfect, we would argue that it is much more 
accurate than any other 100,000 word list (see #4 at http://www.wordfrequency.info/100k_compare.asp).


This sample list shows just six pieces of information for each word (including the raw frequency in COCA* and the number of
texts in COCA that have the word#). The full list, on the other hand, includes more than 50 pieces of data, 
including the frequency  in other BYU corpora (http://corpus.byu.edu), such as BYU-BNC, COHA, and SOAP, as well as 
specific genres within these corpora, such as spoken, fiction, magazines, newspapers, and academic.



rank	freq*	texts#	word	lemma	PoS (part of speech; see http://ucrel.lancs.ac.uk/claws7tags.html)
3080	13385	8356	comprehensive	comprehensive	jj
3100	13251	6720	draft	draft	nn1
3120	13153	10143	benefit	benefit	vv0
3140	13081	7877	deputy	deputy	nn1
3160	13023	8403	analyst	analyst	nn1
3180	12915	8357	solutions	solution	nn2
3200	12834	9908	exists	exist	vvz
3220	12762	10640	dozens	dozen	mc
3240	12662	9285	or	or	cs
3260	12517	8476	revealed	reveal	vvd
3280	12425	5991	index	index	nn1
3300	12343	7924	married	marry	vvn
3320	12229	8878	given	given	jj
3340	12178	9489	ends	end	nn2
3360	12085	7134	online	online	rr
3380	12011	5432	grandfather	grandfather	nn1
3400	11879	9385	mere	mere	jj
3420	11748	7164	smell	smell	nn1
3440	11690	7071	combine	combine	vv0
3460	11600	6930	allies	ally	nn2
3480	11514	6554	print	print	nn1
3500	11437	6323	okay	okay	jj
3520	11376	8901	desperate	desperate	jj
3540	11316	6583	bench	bench	nn1
3560	11222	5262	regulation	regulation	nn1
3580	11144	7077	assess	assess	vv0
3600	11085	8751	joins	join	vvz
3620	11023	6165	flag	flag	nn1
3640	10952	5157	powder	powder	nn1
3660	10900	7829	hungry	hungry	jj
3680	10832	7086	moderate	moderate	jj
3700	10755	7723	wake	wake	vv0
3720	10699	6854	emotions	emotion	nn2
3740	10606	8403	worried	worried	jj
3760	10557	4867	ambassador	ambassador	nn1
3780	10479	9017	ended	end	vvn
3800	10427	5381	fathers	father	nn2
3820	10361	7011	cry	cry	vv0
3840	10300	4984	gardens	garden	nn2
3860	10232	8230	divided	divide	vvn
3880	10170	5166	port	port	nn1
3900	10107	7170	opinions	opinion	nn2
3920	10048	7460	broader	broad	jjr
3940	9995	4811	penalty	penalty	nn1
3960	9911	5834	finance	finance	nn1
3980	9866	6406	root	root	nn1
4000	9811	5910	boards	board	nn2
4020	9727	4193	forests	forest	nn2
4040	9651	6676	extension	extension	nn1
4060	9597	4857	conservatives	conservative	nn2
4080	9532	7125	sixth	sixth	md
4100	9488	7175	conversations	conversation	nn2
4120	9421	4464	ridge	ridge	nn1
4140	9350	7754	suspect	suspect	vv0
4160	9252	7776	promising	promising	jj
4180	9208	7231	account	account	vv0
4200	9156	5870	topics	topic	nn2
4220	9113	7764	welcome	welcome	jj
4240	9046	7471	shift	shift	vv0
4260	9004	5459	shower	shower	nn1
4280	8947	7779	ends	end	vvz
4300	8890	5623	plot	plot	nn1
4320	8847	7408	gathered	gather	vvn
4340	8778	6059	copies	copy	nn2
4360	8705	4823	lawsuit	lawsuit	nn1
4380	8651	6840	frustration	frustration	nn1
4400	8611	6546	entitled	entitle	vvn
4420	8556	6598	exclusive	exclusive	jj
4440	8507	6723	approached	approach	vvd
4460	8464	5983	harm	harm	nn1
4480	8432	5610	dynamic	dynamic	jj
4500	8380	5345	lip	lip	nn1
4520	8332	6470	genuine	genuine	jj
4540	8284	5181	forum	forum	nn1
4560	8233	6468	connect	connect	vv0
4580	8187	4332	inquiry	inquiry	nn1
4600	8140	4259	fires	fire	nn2
4620	8096	6751	doubt	doubt	vv0
4640	8063	6405	ranks	rank	nn2
4660	8012	5236	shade	shade	nn1
4680	7960	4977	pray	pray	vv0
4700	7917	4197	civilians	civilian	nn2
4720	7884	3428	participant	participant	nn1
4740	7854	3861	rope	rope	nn1
4760	7822	5186	interior	interior	nn1
4780	7781	6384	afterward	afterward	rr
4800	7736	6518	readily	readily	rr
4820	7705	6111	respect	respect	vv0
4840	7659	5930	silly	silly	jj
4860	7626	4689	grief	grief	nn1
4880	7594	5345	grip	grip	nn1
4900	7560	5974	determination	determination	nn1
4920	7526	5774	controlling	control	vvg
4940	7489	5013	suits	suit	nn2
4960	7460	3007	census	census	nn1
4980	7423	4259	respect	respect	ii
5000	7385	5078	rage	rage	nn1
5020	7353	4446	dimension	dimension	nn1
5040	7322	4692	blanket	blanket	nn1
5060	7277	5851	laid	lay	vvd
5080	7232	3978	fork	fork	nn1
5100	7187	4562	initiatives	initiative	nn2
5120	7159	2015	counselors	counselor	nn2
5140	7124	6073	sought	seek	vvn
5160	7089	5603	secure	secure	jj
5180	7045	5530	burned	burn	vvn
5200	7014	5751	occasions	occasion	nn2
5220	6981	5941	ambitious	ambitious	jj
5240	6936	3704	consent	consent	nn1
5260	6903	4988	teenage	teenage	jj
5280	6867	2723	hockey	hockey	nn1
5300	6827	5596	inside	inside	nn1
5320	6784	5000	measuring	measure	vvg
5340	6739	3482	classrooms	classroom	nn2
5360	6712	5071	dress	dress	vv0
5380	6677	3323	vessels	vessel	nn2
5400	6630	2741	tribe	tribe	nn1
5420	6600	4430	shelf	shelf	nn1
5440	6580	4103	virtue	virtue	nn1
5460	6551	4508	mentally	mentally	rr
5480	6529	3162	temple	temple	nn1
5500	6493	4402	manufacturer	manufacturer	nn1
5520	6455	2522	peer	peer	nn1
5540	6431	4392	snapped	snap	vvd
5560	6388	2514	priests	priest	nn2
5580	6369	5251	faster	fast	jjr
5600	6344	2568	citizenship	citizenship	nn1
5620	6309	5270	sole	sole	jj
5640	6283	4329	loyalty	loyalty	nn1
5660	6260	4224	hunger	hunger	nn1
5680	6232	2014	narrative	narrative	jj
5700	6205	5339	embrace	embrace	vv0
5720	6179	5213	gained	gain	vvd
5740	6159	4437	stance	stance	nn1
5760	6136	3888	continent	continent	nn1
5780	6106	4992	beloved	beloved	jj
5800	6065	3958	voluntary	voluntary	jj
5820	6038	2834	shakes	shake	vvz
5840	5997	3930	investing	invest	vvg
5860	5981	3684	rank	rank	nn1
5880	5950	4226	rubber	rubber	jj
5900	5927	3573	driveway	driveway	nn1
5920	5907	5042	importantly	importantly	rr
5940	5872	5123	sticking	stick	vvg
5960	5852	3405	translation	translation	nn1
5980	5836	4160	tensions	tension	nn2
6000	5813	4814	occupied	occupy	vvn
6020	5789	4522	imposed	impose	vvn
6040	5760	4728	within	within	rr
6060	5737	2310	alpha	alpha	nn1
6080	5699	3311	bullets	bullet	nn2
6100	5682	4066	flash	flash	nn1
6120	5659	4719	terribly	terribly	rr
6140	5634	3854	masses	mass	nn2
6160	5621	4603	rejected	reject	vvn
6180	5601	3026	cargo	cargo	nn1
6200	5579	4578	bizarre	bizarre	jj
6220	5554	4688	decides	decide	vvz
6240	5514	3453	accidents	accident	nn2
6260	5478	4811	proven	prove	vvn
6280	5462	2936	therapist	therapist	nn1
6300	5438	4621	boost	boost	vv0
6320	5415	3704	brains	brain	nn2
6340	5393	2380	graph	graph	nn1
6360	5368	2774	addiction	addiction	nn1
6380	5339	4646	poorly	poorly	rr
6400	5321	4638	confirmed	confirm	vvd
6420	5296	3370	dessert	dessert	nn1
6440	5273	2537	litigation	litigation	nn1
6460	5249	3599	disputes	dispute	nn2
6480	5232	3673	columns	column	nn2
6500	5207	4164	hurt	hurt	vvd
6520	5182	1701	fucking	fucking	jj
6540	5161	4473	challenged	challenge	vvn
6560	5137	4059	sixteen	sixteen	mc
6580	5116	2531	sprinkle	sprinkle	vv0
6600	5099	1864	flu	flu	nn1
6620	5073	3967	explosive	explosive	jj
6640	5057	3374	approaches	approach	vvz
6660	5037	3654	shortage	shortage	nn1
6680	5013	3428	portable	portable	jj
6700	4981	3766	eighteen	eighteen	mc
6720	4960	4021	permitted	permit	vvn
6740	4937	4003	illustrate	illustrate	vv0
6760	4913	4169	direct	direct	vv0
6780	4892	3720	outfit	outfit	nn1
6800	4879	3784	store	store	vv0
6820	4859	3721	accordingly	accordingly	rr
6840	4837	4221	encouraged	encourage	vvd
6860	4811	4345	appealing	appealing	jj
6880	4792	3453	destiny	destiny	nn1
6900	4767	4048	backed	back	vvd
6920	4733	4002	shocking	shocking	jj
6940	4715	2532	disciplines	discipline	nn2
6960	4695	3010	apartments	apartment	nn2
6980	4672	3334	emergence	emergence	nn1
7000	4650	4043	continually	continually	rr
7020	4632	3820	utterly	utterly	rr
7040	4616	2917	assignments	assignment	nn2
7060	4600	2731	starters	starter	nn2
7080	4578	2622	transactions	transaction	nn2
7100	4565	3726	attacked	attack	vvd
7120	4551	3149	stack	stack	nn1
7140	4533	3877	contrary	contrary	nn1
7160	4517	3948	claimed	claim	vvn
7180	4501	3140	flags	flag	nn2
7200	4477	3655	wrapped	wrap	vvd
7220	4462	934	compost	compost	nn1
7240	4439	3430	respective	respective	jj
7260	4423	3478	cleared	clear	vvd
7280	4405	3438	above	above	jj
7300	4385	3448	cooperate	cooperate	vv0
7320	4368	3208	governing	governing	jj
7340	4355	3483	blocking	block	vvg
7360	4340	2819	liquor	liquor	nn1
7380	4323	3688	matched	match	vvn
7400	4311	3337	trace	trace	vv0
7420	4295	2154	sage	sage	nn1
7440	4282	1942	chapel	chapel	nn1
7460	4263	1345	observatory	observatory	nn1
7480	4245	2087	governance	governance	nn1
7500	4223	3625	dismissed	dismiss	vvn
7520	4203	2474	low-income	low-income	jj
7540	4185	3523	awesome	awesome	jj
7560	4175	1686	interpreter	interpreter	nn1
7580	4159	3419	repair	repair	vv0
7600	4146	2517	helicopters	helicopter	nn2
7620	4133	2365	rituals	ritual	nn2
7640	4113	2048	socioeconomic	socioeconomic	jj
7660	4092	3060	consisted	consist	vvn
7680	4070	2812	youngsters	youngster	nn2
7700	4055	3200	pounding	pounding	nn1
7720	4043	2424	methodology	methodology	nn1
7740	4031	2340	boundary	boundary	nn1
7760	4022	2044	criterion	criterion	nn1
7780	4004	3184	homemade	homemade	jj
7800	3989	2609	poison	poison	nn1
7820	3978	3011	realizes	realize	vvz
7840	3957	1638	cent	cent	nn1
7860	3944	2500	protected	protected	jj
7880	3927	3444	lend	lend	vv0
7900	3909	3377	worried	worry	vvd
7920	3895	3468	beautifully	beautifully	rr
7940	3883	3429	confronted	confront	vvn
7960	3867	3225	sensible	sensible	jj
7980	3853	3094	selecting	select	vvg
8000	3835	3109	delay	delay	vv0
8020	3819	1991	geographical	geographical	jj
8040	3804	3570	considering	considering	ii
8060	3791	3204	questionable	questionable	jj
8080	3776	2568	sue	sue	vv0
8100	3766	3245	develops	develop	vvz
8120	3759	1974	tackle	tackle	nn1
8140	3745	3235	knocked	knock	vvn
8160	3731	3177	restricted	restrict	vvn
8180	3712	2076	armor	armor	nn1
8200	3697	2302	psychiatrist	psychiatrist	nn1
8220	3689	2336	mound	mound	nn1
8240	3680	2156	beads	bead	nn2
8260	3668	1916	composer	composer	nn1
8280	3652	2303	hands-on	hands-on	jj
8300	3636	1745	saddle	saddle	nn1
8320	3622	2579	towels	towel	nn2
8340	3612	2739	leverage	leverage	nn1
8360	3600	3212	relies	rely	vvz
8380	3585	2547	vulnerability	vulnerability	nn1
8400	3572	3161	stretched	stretch	vvn
8420	3560	3153	resulted	result	vvd
8440	3551	1546	insurgents	insurgent	nn2
8460	3536	2042	fax	fax	nn1
8480	3520	3045	listened	listen	vvn
8500	3509	2404	continuity	continuity	nn1
8520	3495	2615	champions	champion	nn2
8540	3484	3114	astonishing	astonishing	jj
8560	3477	1531	patriots	patriot	nn2
8580	3463	3020	accepted	accepted	jj
8600	3450	2642	precedent	precedent	nn1
8620	3440	2047	commissions	commission	nn2
8640	3429	2775	schedules	schedule	nn2
8660	3418	2959	fond	fond	jj
8680	3406	1836	detention	detention	nn1
8700	3392	3010	prefers	prefer	vvz
8720	3384	2618	suspected	suspected	jj
8740	3373	2797	spin	spin	vv0
8760	3359	1823	provinces	province	nn2
8780	3350	2130	blonde	blonde	jj
8800	3337	1576	pitchers	pitcher	nn2
8820	3326	2326	accessories	accessory	nn2
8840	3316	2298	sunglasses	sunglasses	nn2
8860	3303	3035	assembled	assemble	vvn
8880	3292	2764	gradual	gradual	jj
8900	3283	1466	cockpit	cockpit	nn1
8920	3274	2753	insufficient	insufficient	jj
8940	3260	1909	babe	babe	nn1
8960	3249	2478	solitary	solitary	jj
8980	3238	2849	pursued	pursue	vvn
9000	3233	2816	delayed	delay	vvn
9020	3221	967	lebanese	lebanese	jj
9040	3213	1557	premiums	premium	nn2
9060	3201	2001	deployment	deployment	nn1
9080	3193	547	fishery	fishery	nn1
9100	3185	1922	bombings	bombing	nn2
9120	3174	2886	backdrop	backdrop	nn1
9140	3165	1978	oaks	oak	nn2
9160	3152	1106	rebounds	rebound	nn2
9180	3140	1889	mug	mug	nn1
9200	3130	2403	goodbye	goodbye	uh
9220	3120	2424	scarcely	scarcely	rr
9240	3111	1911	motorcycle	motorcycle	nn1
9260	3103	2549	violate	violate	vv0
9280	3093	1845	altitude	altitude	nn1
9300	3082	1979	markers	marker	nn2
9320	3075	2568	overnight	overnight	jj
9340	3067	1528	ferry	ferry	nn1
9360	3055	2769	dismissed	dismiss	vvd
9380	3046	2542	interview	interview	vv0
9400	3039	2668	higher	high	rrr
9420	3030	1545	mortgages	mortgage	nn2
9440	3022	1485	fort	fort	nn1
9460	3013	2725	approached	approach	vvn
9480	3009	2167	alternate	alternate	jj
9500	2999	1708	canopy	canopy	nn1
9520	2989	2647	cite	cite	vv0
9540	2984	2198	drain	drain	nn1
9560	2976	2060	lace	lace	nn1
9580	2968	2304	affluent	affluent	jj
9600	2958	2177	triple	triple	jj
9620	2949	2027	roller	roller	nn1
9640	2940	1894	hooks	hook	nn2
9660	2930	2496	credits	credit	vvz
9680	2914	2455	three-year	three-year	jj
9700	2905	2277	fringe	fringe	nn1
9720	2896	1569	genetics	genetics	nn1
9740	2884	2085	ropes	rope	nn2
9760	2876	1333	sailor	sailor	nn1
9780	2866	1326	variability	variability	nn1
9800	2858	1784	fries	fry	nn2
9820	2850	2528	enhanced	enhance	vvn
9840	2843	1215	lenders	lender	nn2
9860	2831	2474	employs	employ	vvz
9880	2822	2042	inferior	inferior	jj
9900	2817	2379	respectable	respectable	jj
9920	2810	2293	selfish	selfish	jj
9940	2800	1685	expressive	expressive	jj
9960	2790	1914	torso	torso	nn1
9980	2779	2491	steer	steer	vv0
10000	2767	1039	glances	glance	vvz
10020	2760	1580	cannon	cannon	nn1
10040	2750	1945	temples	temple	nn2
10060	2738	1416	massage	massage	nn1
10080	2730	1770	fireworks	fireworks	nn2
10100	2722	2247	measures	measure	vvz
10120	2711	1533	strawberry	strawberry	nn1
10140	2704	1730	lay	lay	jj
10160	2697	2039	obey	obey	vv0
10180	2687	2070	yielded	yield	vvd
10200	2680	1510	scottish	scottish	jj
10220	2673	2410	witnessed	witness	vvd
10240	2665	2141	fallen	fallen	jj
10260	2658	1645	stew	stew	nn1
10280	2650	1933	whistle	whistle	nn1
10300	2643	1724	ambiguity	ambiguity	nn1
10320	2637	1458	empowerment	empowerment	nn1
10340	2629	2283	wonders	wonder	nn2
10360	2623	2004	pitch	pitch	vv0
10380	2615	1998	folds	fold	nn2
10400	2606	1721	onstage	onstage	jj
10420	2597	1864	striped	striped	jj
10440	2588	2144	proposes	propose	vvz
10460	2581	2199	forbidden	forbid	vvn
10480	2572	2236	crushed	crush	vvn
10500	2566	1710	automated	automated	jj
10520	2557	1776	modifications	modification	nn2
10540	2548	2120	brushing	brushing	nn1
10560	2541	2198	consuming	consume	vvg
10580	2534	929	reef	reef	nn1
10600	2527	1644	veil	veil	nn1
10620	2517	1436	patriot	patriot	nn1
10640	2510	1715	floral	floral	jj
10660	2503	2195	outset	outset	nn1
10680	2498	2191	located	locate	vvd
10700	2494	2117	freed	free	vvn
10720	2485	2137	hopeless	hopeless	jj
10740	2479	1708	valleys	valley	nn2
10760	2472	2283	gathering	gather	vvg
10780	2466	385	self-efficacy	self-efficacy	nn1
10800	2458	2078	relaxed	relax	vvd
10820	2450	2121	comprehend	comprehend	vv0
10840	2442	2165	exquisite	exquisite	jj
10860	2435	1307	receivers	receiver	nn2
10880	2429	1149	colon	colon	nn1
10900	2418	1479	cartoons	cartoon	nn2
10920	2409	1888	administrations	administration	nn2
10940	2403	2133	narrowly	narrowly	rr
10960	2395	2132	tune	tune	vv0
10980	2391	914	migrant	migrant	nn1
11000	2385	1660	premium	premium	jj
11020	2379	658	estrogen	estrogen	nn1
11040	2373	913	monks	monk	nn2
11060	2368	1375	goats	goat	nn2
11080	2360	1397	batting	batting	nn1
11100	2351	1916	melted	melt	vvd
11120	2346	1174	graders	grader	nn2
11140	2337	1825	overhead	overhead	jj
11160	2328	1951	versatile	versatile	jj
11180	2320	1575	guided	guided	jj
11200	2310	1984	downward	downward	jj
11220	2304	1356	styling	styling	nn1
11240	2297	1394	high-risk	high-risk	jj
11260	2289	2069	stumbling	stumbling	nn1
11280	2284	2031	curb	curb	vv0
11300	2277	1871	disagreed	disagree	vvd
11320	2271	423	decker	decker	nn1
11340	2263	776	electrons	electron	nn2
11360	2254	1946	cooked	cook	vvd
11380	2249	1571	entrepreneurial	entrepreneurial	jj
11400	2240	2017	revive	revive	vv0
11420	2236	990	dwarf	dwarf	nn1
11440	2228	1110	examiner	examiner	nn1
11460	2221	2076	debated	debate	vvn
11480	2217	2003	following	following	ii
11500	2210	1146	inflammation	inflammation	nn1
11520	2202	1893	spacious	spacious	jj
11540	2198	2020	overlook	overlook	vv0
11560	2193	1914	rip	rip	vv0
11580	2188	1441	automotive	automotive	jj
11600	2183	1834	anguish	anguish	nn1
11620	2179	1886	conceal	conceal	vv0
11640	2173	1926	utter	utter	jj
11660	2169	1219	ponds	pond	nn2
11680	2161	1718	bust	bust	nn1
11700	2154	1293	poisoning	poisoning	nn1
11720	2147	1336	discrepancy	discrepancy	nn1
11740	2141	1905	cracked	crack	vvd
11760	2137	1691	purity	purity	nn1
11780	2132	1385	freight	freight	nn1
11800	2128	1637	fulfillment	fulfillment	nn1
11820	2123	1864	bore	bore	vvd
11840	2118	1907	competing	compete	vvg
11860	2111	1199	apparel	apparel	nn1
11880	2106	1185	librarian	librarian	nn1
11900	2098	1846	lest	lest	cs
11920	2093	1503	factual	factual	jj
11940	2088	1353	butcher	butcher	nn1
11960	2081	1509	stain	stain	nn1
11980	2075	1673	sleeps	sleep	vvz
12000	2070	1368	drill	drill	vv0
12020	2065	1393	pneumonia	pneumonia	nn1
12040	2059	1964	plagued	plague	vvn
12060	2053	1458	three-dimensional	three-dimensional	jj
12080	2048	1149	tattoos	tattoo	nn2
12100	2043	1817	pleasing	pleasing	jj
12120	2037	1903	tremendously	tremendously	rr
12140	2032	1753	loosen	loosen	vv0
12160	2024	1825	welcoming	welcoming	jj
12180	2018	1639	barefoot	barefoot	jj
12200	2015	1205	pilgrimage	pilgrimage	nn1
12220	2010	1844	lavish	lavish	jj
12240	2005	962	terrestrial	terrestrial	jj
12260	1999	1226	constellation	constellation	nn1
12280	1995	1012	chick	chick	nn1
12300	1987	1025	pineapple	pineapple	nn1
12320	1982	843	at-risk	at-risk	jj
12340	1977	1519	carve	carve	vv0
12360	1973	1720	rested	rest	vvn
12380	1968	1743	suspects	suspect	vvz
12400	1964	556	martian	martian	jj
12420	1959	1555	gripped	grip	vvd
12440	1954	837	algae	algae	nn2
12460	1948	1560	illustrated	illustrate	vvd
12480	1943	1746	muted	muted	jj
12500	1938	1213	brochure	brochure	nn1
12520	1934	1220	ballpark	ballpark	nn1
12540	1930	1555	opaque	opaque	jj
12560	1926	1709	remotely	remotely	rr
12580	1921	942	processors	processor	nn2
12600	1915	1644	frame	frame	vv0
12620	1911	1412	commute	commute	vv0
12640	1906	920	impaired	impaired	jj
12660	1901	1711	effect	effect	vv0
12680	1896	1207	drummer	drummer	nn1
12700	1891	1073	canon	canon	nn1
12720	1887	1668	doubted	doubt	vvd
12740	1880	809	crabs	crab	nn2
12760	1876	1439	appoint	appoint	vv0
12780	1870	1184	lever	lever	nn1
12800	1864	1491	insure	insure	vv0
12820	1860	1024	nests	nest	nn2
12840	1857	780	strait	strait	nn1
12860	1851	1477	sly	sly	jj
12880	1847	1294	comrades	comrade	nn2
12900	1843	808	granny	granny	nn1
12920	1838	1206	unmarried	unmarried	jj
12940	1833	1672	fleeting	fleeting	jj
12960	1829	1069	guitarist	guitarist	nn1
12980	1825	1313	two-way	two-way	jj
13000	1821	1175	powdered	powdered	jj
13020	1817	1620	attentive	attentive	jj
13040	1812	1139	naming	naming	nn1
13060	1806	1073	blizzard	blizzard	nn1
13080	1800	1530	calculated	calculate	vvd
13100	1797	849	fishes	fish	nn2
13120	1793	1025	ultraviolet	ultraviolet	jj
13140	1787	1628	wondered	wonder	vvn
13160	1784	1155	fundraising	fundraising	nn1
13180	1780	1589	eliminated	eliminate	vvd
13200	1774	1584	might	might	nn1
13220	1770	1041	pitching	pitching	nn1
13240	1765	1543	ordinarily	ordinarily	rr
13260	1762	1065	vibration	vibration	nn1
13280	1758	1456	constituted	constitute	vvd
13300	1754	1536	awakened	awaken	vvn
13320	1752	829	thy	thy	appge
13340	1748	1502	derives	derive	vvz
13360	1744	1477	translucent	translucent	jj
