四,cancel,cancelation,研纲,cancel,初中,cancel,3951,cancel
无,mistreat,,,,,,15070,mistreat
无,nicely,,,,,,6102,nicely
无,acutely,,,,,,11678,acutely
无,unavailable,,,,,,10114,unavailable
六,abrupt,,研纲,abrupt,高考,abrupt,8880,abrupt
无,predispose,,,,,,13431,predispose
无,descriptor,,,,,,19739,descriptor
四,spontaneous,spontaneity,研纲,spontaneous,,,6673,spontaneous;spontaneity
四,salary,,研纲,salary,初中,salary,2476,salary
四,pretend,pretense/-ce,研纲,pretend,初中,pretend,2928,pretend;pretense
无,naturalized,,,,,,18873,naturalized
无,inflatable,,,,,,15109,inflatable
无,tranquilizer,,,,,,18430,tranquilizer
无,imperfect,,,,,,10294,imperfect
四,pick,picky,研纲,pick,小学,pick,518/5189,pick;picky
无,roil,,,,,,16586,roil
四,energy,energetic;energetically,研纲,energy;energetic,初中,energy;energetic,616,energy;energetic;energetically
无,deference,,,,,,11627,deference
无,spreading,,,,,,11053/18341,spreading
无,forty-one,,,,,,18780,forty-one
无,dismayed,,,,,,17581,dismayed
无,bogus,,,,,,11513,bogus
无,flit,,,,,,14939,flit
四,role,,研纲,role,初中,role,452,role
无,glade,,,,,,20195,glade
无,turf,,,,,,6715,turf
无,upholstery,,,,,,14488,upholstery
无,fearless,,,,,,11796,fearless
四,roll,roller,研纲,roll,高中,roll,1255/2548,roll;roller
四,I,,研纲,I,小学,I,11,I
四,turn,turning(高考),研纲,turn,小学,turn;turning,170/1177,turn;turning
四,gold,golden,研纲,gold;golden,初中,gold;golden,1262/8711,gold;golden
四,result,resultant,研纲,result;resultant,初中,result,355/1365,result;resultant
无,venous,,,,,,19933,venous
四,golf,,研纲,golf,初中,golf,1815,golf
无,pier,,,,,,7999,pier
六,evaporate,evaporation,研纲,evaporate,,,8042,evaporate;evaporation
无,luminosity,,,,,,18305,luminosity
四,after,,研纲,after,小学,after,120/260/9383/16827,after
六,flip,,,,,,3959/9083,flip
四,staircase,,研纲,staircase/stairway,,,7154,staircase
无,nibble,,,,,,11555,nibble
四,resume,resumption,研纲,resume,,,3819/9983,resume;resumption
无,barricade,,,,,,11574/18860,barricade
﻿四,a/an,,研纲,a/an,小学,a/an,5,a
无,lunchtime,,,,,,11830,lunchtime
无,garland,,,,,,15967,garland
无,tabletop,,,,,,13164,tabletop
无,laden,,,,,,12956,laden
无,weeping,,,,,,16581/17817,weeping
无,eating,,,,,,3941,eating
四,neighbo(u)r,neighbo(u)rhood,研纲,neighbo(u)r;neighbo(u)rhood,初中,neighbo(u)r;neighbo(u)rhood,1446,neighbor;neighborhood
无,treetop,,,,,,15873,treetop
无,gripping,,,,,,15586,gripping
无,stasis,,,,,,19817,stasis
无,inhalation,,,,,,18077,inhalation
